Time,Channel A,Channel B
(ms),(V),(V)

-0.50002836,0.00259407,0.00747704
-0.49997236,0.00274667,0.00686667
-0.49991636,0.00320444,0.00701926
-0.49986036,0.00320444,0.00717185
-0.49980436,0.00320444,0.00701926
-0.49974836,0.00350963,0.00671407
-0.49969236,0.00350963,0.00747704
-0.49963636,0.00366222,0.00701926
-0.49958036,0.00274667,0.00671407
-0.49952436,0.00335704,0.00701926
-0.49946836,0.00350963,0.00671407
-0.49941236,0.00381481,0.00640889
-0.49935636,0.00396741,0.00625629
-0.49930036,0.00381481,0.00656148
-0.49924436,0.00412000,0.00656148
-0.49918836,0.00473037,0.00686667
-0.49913236,0.00488296,0.00686667
-0.49907636,0.00488296,0.00671407
-0.49902036,0.00427259,0.00701926
-0.49896436,0.00427259,0.00717185
-0.49890836,0.00427259,0.00747704
-0.49885236,0.00381481,0.00762963
-0.49879636,0.00396741,0.00824000
-0.49874036,0.00366222,0.00762963
-0.49868436,0.00427259,0.00793481
-0.49862836,0.00412000,0.00808741
-0.49857236,0.00473037,0.00808741
-0.49851636,0.00503555,0.00869778
-0.49846036,0.00518815,0.00839259
-0.49840436,0.00518815,0.00839259
-0.49834836,0.00518815,0.00778222
-0.49829236,0.00564592,0.00808741
-0.49823636,0.00518815,0.00747704
-0.49818036,0.00473037,0.00732444
-0.49812436,0.00457778,0.00656148
-0.49806836,0.00488296,0.00595111
-0.49801236,0.00503555,0.00564592
-0.49795636,0.00518815,0.00595111
-0.49790036,0.00488296,0.00503555
-0.49784436,0.00503555,0.00534074
-0.49778836,0.00518815,0.00534074
-0.49773236,0.00488296,0.00518815
-0.49767636,0.00488296,0.00564592
-0.49762036,0.00534074,0.00549333
-0.49756436,0.00534074,0.00625629
-0.49750836,0.00549333,0.00564592
-0.49745236,0.00518815,0.00564592
-0.49739636,0.00488296,0.00610370
-0.49734036,0.00503555,0.00579852
-0.49728436,0.00488296,0.00564592
-0.49722836,0.00503555,0.00518815
-0.49717236,0.00488296,0.00503555
-0.49711636,0.00442518,0.00457778
-0.49706036,0.00457778,0.00503555
-0.49700436,0.00442518,0.00442518
-0.49694836,0.00457778,0.00457778
-0.49689236,0.00396741,0.00427259
-0.49683636,0.00396741,0.00442518
-0.49678036,0.00412000,0.00442518
-0.49672436,0.00442518,0.00442518
-0.49666836,0.00427259,0.00442518
-0.49661236,0.00442518,0.00427259
-0.49655636,0.00427259,0.00473037
-0.49650036,0.00350963,0.00442518
-0.49644436,0.00381481,0.00442518
-0.49638836,0.00427259,0.00518815
-0.49633236,0.00366222,0.00518815
-0.49627636,0.00320444,0.00534074
-0.49622036,0.00305185,0.00549333
-0.49616436,0.00320444,0.00534074
-0.49610836,0.00305185,0.00610370
-0.49605236,0.00305185,0.00640889
-0.49599636,0.00350963,0.00656148
-0.49594036,0.00350963,0.00671407
-0.49588436,0.00350963,0.00671407
-0.49582836,0.00320444,0.00686667
-0.49577236,0.00320444,0.00640889
-0.49571636,0.00350963,0.00671407
-0.49566036,0.00396741,0.00701926
-0.49560436,0.00427259,0.00701926
-0.49554836,0.00412000,0.00732444
-0.49549236,0.00442518,0.00778222
-0.49543636,0.00457778,0.00793481
-0.49538036,0.00488296,0.00778222
-0.49532436,0.00473037,0.00793481
-0.49526836,0.00488296,0.00747704
-0.49521236,0.00595111,0.00808741
-0.49515636,0.00610370,0.00793481
-0.49510036,0.00640889,0.00869778
-0.49504436,0.00686667,0.00854518
-0.49498836,0.00671407,0.00854518
-0.49493236,0.00656148,0.00869778
-0.49487636,0.00640889,0.00885037
-0.49482036,0.00610370,0.00869778
-0.49476436,0.00595111,0.00885037
-0.49470836,0.00625629,0.00869778
-0.49465236,0.00595111,0.00946074
-0.49459636,0.00595111,0.00930815
-0.49454036,0.00610370,0.01007111
-0.49448436,0.00610370,0.01037629
-0.49442836,0.00595111,0.01068148
-0.49437236,0.00549333,0.01083407
-0.49431636,0.00549333,0.01037629
-0.49426036,0.00534074,0.01007111
-0.49420436,0.00534074,0.00976592
-0.49414836,0.00534074,0.00946074
-0.49409236,0.00564592,0.00915555
-0.49403636,0.00534074,0.00915555
-0.49398036,0.00549333,0.00946074
-0.49392436,0.00488296,0.00946074
-0.49386836,0.00427259,0.00915555
-0.49381236,0.00427259,0.00869778
-0.49375636,0.00396741,0.00869778
-0.49370036,0.00366222,0.00869778
-0.49364436,0.00381481,0.00869778
-0.49358836,0.00412000,0.00885037
-0.49353236,0.00442518,0.00930815
-0.49347636,0.00442518,0.01022370
-0.49342036,0.00396741,0.00976592
-0.49336436,0.00457778,0.01007111
