Time,Channel A,Channel B
(ms),(V),(V)

-0.50003687,0.00228889,0.00564592
-0.49998087,0.00198370,0.00564592
-0.49992487,0.00167852,0.00610370
-0.49986887,0.00167852,0.00640889
-0.49981287,0.00183111,0.00610370
-0.49975687,0.00213630,0.00579852
-0.49970087,0.00213630,0.00595111
-0.49964487,0.00213630,0.00564592
-0.49958887,0.00259407,0.00534074
-0.49953287,0.00244148,0.00579852
-0.49947687,0.00183111,0.00610370
-0.49942087,0.00167852,0.00656148
-0.49936487,0.00106815,0.00717185
-0.49930887,0.00061037,0.00762963
-0.49925287,0.00045778,0.00793481
-0.49919687,0.00045778,0.00717185
-0.49914087,0.00061037,0.00686667
-0.49908487,0.00076296,0.00701926
-0.49902887,0.00122074,0.00686667
-0.49897287,0.00122074,0.00701926
-0.49891687,0.00106815,0.00671407
-0.49886087,0.00198370,0.00671407
-0.49880487,0.00198370,0.00656148
-0.49874887,0.00137333,0.00656148
-0.49869287,0.00183111,0.00610370
-0.49863687,0.00137333,0.00640889
-0.49858087,0.00106815,0.00610370
-0.49852487,0.00091556,0.00625629
-0.49846887,0.00091556,0.00579852
-0.49841287,0.00076296,0.00579852
-0.49835687,0.00076296,0.00549333
-0.49830087,0.00045778,0.00564592
-0.49824487,0.00045778,0.00518815
-0.49818887,0.00061037,0.00488296
-0.49813287,0.00061037,0.00488296
-0.49807687,0.00030519,0.00473037
-0.49802087,0.00015259,0.00473037
-0.49796487,0.00000000,0.00473037
-0.49790887,-0.00045778,0.00488296
-0.49785287,-0.00045778,0.00457778
-0.49779687,-0.00106815,0.00427259
-0.49774087,-0.00167852,0.00350963
-0.49768487,-0.00167852,0.00335704
-0.49762887,-0.00137333,0.00320444
-0.49757287,-0.00106815,0.00259407
-0.49751687,-0.00076296,0.00244148
-0.49746087,-0.00030519,0.00198370
-0.49740487,-0.00061037,0.00213630
-0.49734887,-0.00061037,0.00213630
-0.49729287,-0.00045778,0.00167852
-0.49723687,-0.00122074,0.00198370
-0.49718087,-0.00106815,0.00183111
-0.49712487,-0.00122074,0.00198370
-0.49706887,-0.00198370,0.00213630
-0.49701287,-0.00213630,0.00198370
-0.49695687,-0.00183111,0.00228889
-0.49690087,-0.00198370,0.00259407
-0.49684487,-0.00183111,0.00289926
-0.49678887,-0.00228889,0.00335704
-0.49673287,-0.00259407,0.00335704
-0.49667687,-0.00274667,0.00350963
-0.49662087,-0.00213630,0.00350963
-0.49656487,-0.00213630,0.00350963
-0.49650887,-0.00183111,0.00289926
-0.49645287,-0.00183111,0.00305185
-0.49639687,-0.00183111,0.00335704
-0.49634087,-0.00167852,0.00350963
-0.49628487,-0.00183111,0.00289926
-0.49622887,-0.00167852,0.00335704
-0.49617287,-0.00122074,0.00305185
-0.49611687,-0.00106815,0.00305185
-0.49606087,-0.00122074,0.00335704
-0.49600487,-0.00091556,0.00381481
-0.49594887,0.00000000,0.00427259
-0.49589287,-0.00015259,0.00427259
-0.49583687,-0.00061037,0.00366222
-0.49578087,-0.00015259,0.00381481
-0.49572487,0.00045778,0.00396741
-0.49566887,0.00030519,0.00427259
-0.49561287,0.00000000,0.00457778
-0.49555687,0.00015259,0.00488296
-0.49550087,0.00015259,0.00473037
-0.49544487,0.00015259,0.00442518
-0.49538887,0.00000000,0.00457778
-0.49533287,0.00000000,0.00473037
-0.49527687,0.00061037,0.00427259
-0.49522087,0.00091556,0.00412000
-0.49516487,0.00106815,0.00412000
-0.49510887,0.00091556,0.00442518
-0.49505287,0.00122074,0.00396741
-0.49499687,0.00213630,0.00396741
-0.49494087,0.00228889,0.00396741
-0.49488487,0.00259407,0.00381481
-0.49482887,0.00152593,0.00350963
-0.49477287,0.00137333,0.00366222
-0.49471687,0.00091556,0.00412000
-0.49466087,0.00045778,0.00427259
-0.49460487,0.00030519,0.00396741
-0.49454887,0.00000000,0.00366222
-0.49449287,0.00030519,0.00442518
-0.49443687,0.00045778,0.00442518
-0.49438087,0.00030519,0.00457778
-0.49432487,0.00061037,0.00442518
-0.49426887,0.00061037,0.00427259
-0.49421287,0.00045778,0.00396741
-0.49415687,0.00030519,0.00366222
-0.49410087,0.00045778,0.00381481
-0.49404487,0.00061037,0.00381481
-0.49398887,0.00000000,0.00381481
-0.49393287,-0.00091556,0.00350963
-0.49387687,-0.00030519,0.00320444
-0.49382087,0.00000000,0.00305185
-0.49376487,-0.00015259,0.00274667
-0.49370887,-0.00015259,0.00305185
-0.49365287,0.00000000,0.00289926
-0.49359687,0.00045778,0.00274667
-0.49354087,0.00061037,0.00259407
-0.49348487,0.00045778,0.00259407
