Time,Channel A,Channel B
(ms),(V),(V)

-0.50006866,0.02685629,-0.00717185
-0.50001266,0.02700888,-0.00717185
-0.49995666,0.02746666,-0.00701926
-0.49990066,0.02777184,-0.00717185
-0.49984466,0.02822962,-0.00747704
-0.49978866,0.02853481,-0.00762963
-0.49973266,0.02899258,-0.00793481
-0.49967666,0.02868740,-0.00808741
-0.49962066,0.02883999,-0.00824000
-0.49956466,0.02883999,-0.00824000
-0.49950866,0.02868740,-0.00839259
-0.49945266,0.02914518,-0.00854518
-0.49939666,0.02914518,-0.00854518
-0.49934066,0.02899258,-0.00824000
-0.49928466,0.02929777,-0.00839259
-0.49922866,0.02929777,-0.00808741
-0.49917266,0.02914518,-0.00778222
-0.49911666,0.02929777,-0.00793481
-0.49906066,0.02914518,-0.00793481
-0.49900466,0.02914518,-0.00824000
-0.49894866,0.02899258,-0.00793481
-0.49889266,0.02868740,-0.00778222
-0.49883666,0.02914518,-0.00793481
-0.49878066,0.02914518,-0.00762963
-0.49872466,0.02960295,-0.00778222
-0.49866866,0.02975555,-0.00762963
-0.49861266,0.03006073,-0.00793481
-0.49855666,0.02960295,-0.00824000
-0.49850066,0.02945036,-0.00824000
-0.49844466,0.02883999,-0.00824000
-0.49838866,0.02868740,-0.00824000
-0.49833266,0.02853481,-0.00793481
-0.49827666,0.02868740,-0.00808741
-0.49822066,0.02883999,-0.00793481
-0.49816466,0.02883999,-0.00808741
-0.49810866,0.02838221,-0.00808741
-0.49805266,0.02822962,-0.00778222
-0.49799666,0.02807703,-0.00762963
-0.49794066,0.02746666,-0.00762963
-0.49788466,0.02777184,-0.00762963
-0.49782866,0.02792444,-0.00778222
-0.49777266,0.02792444,-0.00824000
-0.49771666,0.02807703,-0.00778222
-0.49766066,0.02746666,-0.00778222
-0.49760466,0.02761925,-0.00824000
-0.49754866,0.02761925,-0.00808741
-0.49749266,0.02716147,-0.00824000
-0.49743666,0.02716147,-0.00808741
-0.49738066,0.02761925,-0.00824000
-0.49732466,0.02731407,-0.00824000
-0.49726866,0.02670370,-0.00839259
-0.49721266,0.02670370,-0.00824000
-0.49715666,0.02685629,-0.00824000
-0.49710066,0.02655110,-0.00839259
-0.49704466,0.02578814,-0.00808741
-0.49698866,0.02563555,-0.00824000
-0.49693266,0.02533036,-0.00824000
-0.49687666,0.02517777,-0.00839259
-0.49682066,0.02517777,-0.00839259
-0.49676466,0.02533036,-0.00854518
-0.49670866,0.02517777,-0.00885037
-0.49665266,0.02563555,-0.00915555
-0.49659666,0.02502518,-0.00946074
-0.49654066,0.02502518,-0.00946074
-0.49648466,0.02471999,-0.00976592
-0.49642866,0.02410962,-0.00961333
-0.49637266,0.02426222,-0.00900296
-0.49631666,0.02456740,-0.00915555
-0.49626066,0.02456740,-0.00885037
-0.49620466,0.02487259,-0.00885037
-0.49614866,0.02487259,-0.00854518
-0.49609266,0.02487259,-0.00839259
-0.49603666,0.02517777,-0.00808741
-0.49598066,0.02533036,-0.00824000
-0.49592466,0.02487259,-0.00900296
-0.49586866,0.02502518,-0.00900296
-0.49581266,0.02502518,-0.00854518
-0.49575666,0.02533036,-0.00915555
-0.49570066,0.02533036,-0.00869778
-0.49564466,0.02563555,-0.00900296
-0.49558866,0.02533036,-0.00885037
-0.49553266,0.02563555,-0.00869778
-0.49547666,0.02594073,-0.00885037
-0.49542066,0.02578814,-0.00869778
-0.49536466,0.02563555,-0.00869778
-0.49530866,0.02594073,-0.00885037
-0.49525266,0.02624592,-0.00885037
-0.49519666,0.02639851,-0.00885037
-0.49514066,0.02655110,-0.00930815
-0.49508466,0.02655110,-0.00946074
-0.49502866,0.02594073,-0.00915555
-0.49497266,0.02578814,-0.00915555
-0.49491666,0.02594073,-0.00885037
-0.49486066,0.02548296,-0.00854518
-0.49480466,0.02594073,-0.00869778
-0.49474866,0.02624592,-0.00915555
-0.49469266,0.02670370,-0.00930815
-0.49463666,0.02731407,-0.00961333
-0.49458066,0.02685629,-0.01037629
-0.49452466,0.02716147,-0.01022370
-0.49446866,0.02700888,-0.01098666
-0.49441266,0.02670370,-0.01083407
-0.49435666,0.02716147,-0.01113926
-0.49430066,0.02685629,-0.01144444
-0.49424466,0.02700888,-0.01159703
-0.49418866,0.02700888,-0.01159703
-0.49413266,0.02777184,-0.01144444
-0.49407666,0.02807703,-0.01083407
-0.49402066,0.02807703,-0.01052889
-0.49396466,0.02807703,-0.01022370
-0.49390866,0.02822962,-0.01083407
-0.49385266,0.02792444,-0.01129185
-0.49379666,0.02838221,-0.01129185
-0.49374066,0.02822962,-0.01113926
