Time,Channel A,Channel B
(ms),(V),(V)

-0.50006842,0.00396741,0.01327555
-0.50001242,0.00381481,0.01312296
-0.49995642,0.00396741,0.01297037
-0.49990042,0.00427259,0.01297037
-0.49984442,0.00412000,0.01251259
-0.49978842,0.00427259,0.01281777
-0.49973242,0.00473037,0.01297037
-0.49967642,0.00488296,0.01312296
-0.49962042,0.00442518,0.01251259
-0.49956442,0.00427259,0.01220740
-0.49950842,0.00457778,0.01220740
-0.49945242,0.00442518,0.01281777
-0.49939642,0.00473037,0.01297037
-0.49934042,0.00457778,0.01342814
-0.49928442,0.00442518,0.01342814
-0.49922842,0.00412000,0.01358074
-0.49917242,0.00381481,0.01327555
-0.49911642,0.00366222,0.01342814
-0.49906042,0.00381481,0.01342814
-0.49900442,0.00320444,0.01388592
-0.49894842,0.00289926,0.01388592
-0.49889242,0.00259407,0.01434370
-0.49883642,0.00289926,0.01419111
-0.49878042,0.00350963,0.01327555
-0.49872442,0.00396741,0.01281777
-0.49866842,0.00442518,0.01220740
-0.49861242,0.00442518,0.01236000
-0.49855642,0.00473037,0.01266518
-0.49850042,0.00488296,0.01251259
-0.49844442,0.00488296,0.01251259
-0.49838842,0.00457778,0.01220740
-0.49833242,0.00473037,0.01251259
-0.49827642,0.00488296,0.01266518
-0.49822042,0.00503555,0.01236000
-0.49816442,0.00473037,0.01205481
-0.49810842,0.00488296,0.01205481
-0.49805242,0.00518815,0.01251259
-0.49799642,0.00534074,0.01266518
-0.49794042,0.00503555,0.01297037
-0.49788442,0.00503555,0.01281777
-0.49782842,0.00579852,0.01312296
-0.49777242,0.00579852,0.01373333
-0.49771642,0.00579852,0.01419111
-0.49766042,0.00595111,0.01403851
-0.49760442,0.00534074,0.01419111
-0.49754842,0.00549333,0.01358074
-0.49749242,0.00564592,0.01342814
-0.49743642,0.00625629,0.01281777
-0.49738042,0.00625629,0.01266518
-0.49732442,0.00640889,0.01281777
-0.49726842,0.00625629,0.01342814
-0.49721242,0.00686667,0.01327555
-0.49715642,0.00701926,0.01342814
-0.49710042,0.00671407,0.01327555
-0.49704442,0.00640889,0.01342814
-0.49698842,0.00595111,0.01373333
-0.49693242,0.00595111,0.01419111
-0.49687642,0.00564592,0.01464888
-0.49682042,0.00564592,0.01388592
-0.49676442,0.00579852,0.01373333
-0.49670842,0.00595111,0.01403851
-0.49665242,0.00579852,0.01434370
-0.49659642,0.00640889,0.01419111
-0.49654042,0.00656148,0.01449629
-0.49648442,0.00686667,0.01419111
-0.49642842,0.00671407,0.01403851
-0.49637242,0.00732444,0.01419111
-0.49631642,0.00717185,0.01480148
-0.49626042,0.00701926,0.01434370
-0.49620442,0.00656148,0.01403851
-0.49614842,0.00625629,0.01373333
-0.49609242,0.00656148,0.01373333
-0.49603642,0.00656148,0.01312296
-0.49598042,0.00640889,0.01266518
-0.49592442,0.00579852,0.01266518
-0.49586842,0.00595111,0.01266518
-0.49581242,0.00595111,0.01190222
-0.49575642,0.00595111,0.01174963
-0.49570042,0.00595111,0.01159703
-0.49564442,0.00534074,0.01236000
-0.49558842,0.00579852,0.01190222
-0.49553242,0.00579852,0.01174963
-0.49547642,0.00534074,0.01129185
-0.49542042,0.00488296,0.01113926
-0.49536442,0.00473037,0.01113926
-0.49530842,0.00488296,0.01144444
-0.49525242,0.00518815,0.01144444
-0.49519642,0.00473037,0.01129185
-0.49514042,0.00442518,0.01113926
-0.49508442,0.00457778,0.01144444
-0.49502842,0.00473037,0.01159703
-0.49497242,0.00488296,0.01190222
-0.49491642,0.00457778,0.01190222
-0.49486042,0.00473037,0.01190222
-0.49480442,0.00473037,0.01220740
-0.49474842,0.00412000,0.01205481
-0.49469242,0.00412000,0.01205481
-0.49463642,0.00442518,0.01251259
-0.49458042,0.00335704,0.01220740
-0.49452442,0.00366222,0.01174963
-0.49446842,0.00381481,0.01174963
-0.49441242,0.00457778,0.01205481
-0.49435642,0.00473037,0.01205481
-0.49430042,0.00412000,0.01190222
-0.49424442,0.00381481,0.01266518
-0.49418842,0.00381481,0.01266518
-0.49413242,0.00457778,0.01236000
-0.49407642,0.00412000,0.01205481
-0.49402042,0.00457778,0.01251259
-0.49396442,0.00488296,0.01220740
-0.49390842,0.00442518,0.01281777
-0.49385242,0.00473037,0.01297037
-0.49379642,0.00396741,0.01312296
-0.49374042,0.00396741,0.01312296
-0.49368442,0.00396741,0.01327555
-0.49362842,0.00427259,0.01358074
-0.49357242,0.00427259,0.01327555
-0.49351642,0.00427259,0.01327555
-0.49346042,0.00366222,0.01358074
-0.49340442,0.00412000,0.01373333
