Time,Channel A,Channel B
(ms),(V),(V)

-0.50007162,-0.00427259,0.00000000
-0.50001562,-0.00381481,-0.00015259
-0.49995962,-0.00427259,0.00000000
-0.49990362,-0.00412000,0.00015259
-0.49984762,-0.00381481,0.00000000
-0.49979162,-0.00320444,0.00015259
-0.49973562,-0.00274667,0.00015259
-0.49967962,-0.00244148,0.00000000
-0.49962362,-0.00228889,0.00030519
-0.49956762,-0.00213630,0.00091556
-0.49951162,-0.00198370,0.00061037
-0.49945562,-0.00228889,0.00061037
-0.49939962,-0.00244148,0.00061037
-0.49934362,-0.00228889,0.00045778
-0.49928762,-0.00244148,0.00061037
-0.49923162,-0.00320444,0.00137333
-0.49917562,-0.00259407,0.00152593
-0.49911962,-0.00259407,0.00167852
-0.49906362,-0.00289926,0.00213630
-0.49900762,-0.00274667,0.00213630
-0.49895162,-0.00274667,0.00274667
-0.49889562,-0.00320444,0.00320444
-0.49883962,-0.00305185,0.00335704
-0.49878362,-0.00366222,0.00381481
-0.49872762,-0.00350963,0.00366222
-0.49867162,-0.00366222,0.00381481
-0.49861562,-0.00366222,0.00396741
-0.49855962,-0.00381481,0.00457778
-0.49850362,-0.00442518,0.00396741
-0.49844762,-0.00488296,0.00412000
-0.49839162,-0.00473037,0.00412000
-0.49833562,-0.00473037,0.00412000
-0.49827962,-0.00442518,0.00442518
-0.49822362,-0.00488296,0.00412000
-0.49816762,-0.00442518,0.00381481
-0.49811162,-0.00473037,0.00350963
-0.49805562,-0.00518815,0.00335704
-0.49799962,-0.00518815,0.00274667
-0.49794362,-0.00503555,0.00228889
-0.49788762,-0.00549333,0.00274667
-0.49783162,-0.00534074,0.00259407
-0.49777562,-0.00549333,0.00244148
-0.49771962,-0.00595111,0.00244148
-0.49766362,-0.00579852,0.00244148
-0.49760762,-0.00518815,0.00244148
-0.49755162,-0.00518815,0.00259407
-0.49749562,-0.00457778,0.00259407
-0.49743962,-0.00381481,0.00213630
-0.49738362,-0.00442518,0.00228889
-0.49732762,-0.00442518,0.00213630
-0.49727162,-0.00427259,0.00183111
-0.49721562,-0.00473037,0.00198370
-0.49715962,-0.00518815,0.00198370
-0.49710362,-0.00457778,0.00167852
-0.49704762,-0.00442518,0.00167852
-0.49699162,-0.00412000,0.00122074
-0.49693562,-0.00396741,0.00137333
-0.49687962,-0.00442518,0.00167852
-0.49682362,-0.00442518,0.00167852
-0.49676762,-0.00442518,0.00091556
-0.49671162,-0.00427259,0.00106815
-0.49665562,-0.00366222,0.00106815
-0.49659962,-0.00442518,0.00076296
-0.49654362,-0.00488296,0.00122074
-0.49648762,-0.00473037,0.00122074
-0.49643162,-0.00457778,0.00122074
-0.49637562,-0.00488296,0.00137333
-0.49631962,-0.00503555,0.00152593
-0.49626362,-0.00534074,0.00152593
-0.49620762,-0.00610370,0.00183111
-0.49615162,-0.00625629,0.00183111
-0.49609562,-0.00595111,0.00228889
-0.49603962,-0.00610370,0.00167852
-0.49598362,-0.00610370,0.00152593
-0.49592762,-0.00595111,0.00152593
-0.49587162,-0.00625629,0.00106815
-0.49581562,-0.00686667,0.00106815
-0.49575962,-0.00732444,0.00106815
-0.49570362,-0.00778222,0.00122074
-0.49564762,-0.00793481,0.00106815
-0.49559162,-0.00732444,0.00091556
-0.49553562,-0.00778222,0.00076296
-0.49547962,-0.00778222,0.00045778
-0.49542362,-0.00762963,0.00091556
-0.49536762,-0.00747704,0.00061037
-0.49531162,-0.00778222,0.00091556
-0.49525562,-0.00808741,0.00061037
-0.49519962,-0.00793481,0.00106815
-0.49514362,-0.00793481,0.00122074
-0.49508762,-0.00747704,0.00122074
-0.49503162,-0.00762963,0.00122074
-0.49497562,-0.00732444,0.00198370
-0.49491962,-0.00686667,0.00228889
-0.49486362,-0.00701926,0.00228889
-0.49480762,-0.00671407,0.00228889
-0.49475162,-0.00625629,0.00213630
-0.49469562,-0.00640889,0.00228889
-0.49463962,-0.00656148,0.00228889
-0.49458362,-0.00640889,0.00244148
-0.49452762,-0.00595111,0.00198370
-0.49447162,-0.00549333,0.00167852
-0.49441562,-0.00488296,0.00152593
-0.49435962,-0.00488296,0.00198370
-0.49430362,-0.00473037,0.00122074
-0.49424762,-0.00442518,0.00167852
-0.49419162,-0.00473037,0.00152593
-0.49413562,-0.00442518,0.00167852
-0.49407962,-0.00381481,0.00213630
-0.49402362,-0.00350963,0.00213630
-0.49396762,-0.00274667,0.00183111
-0.49391162,-0.00320444,0.00183111
-0.49385562,-0.00335704,0.00137333
-0.49379962,-0.00381481,0.00061037
-0.49374362,-0.00320444,0.00030519
