Time,Channel A,Channel B
(ms),(V),(V)

-0.49069502,0.00335704,0.00732444
-0.49063902,0.00259407,0.00671407
-0.49058302,0.00274667,0.00671407
-0.49052702,0.00244148,0.00686667
-0.49047102,0.00259407,0.00717185
-0.49041502,0.00244148,0.00747704
-0.49035902,0.00259407,0.00778222
-0.49030302,0.00167852,0.00824000
-0.49024702,0.00122074,0.00824000
-0.49019102,0.00152593,0.00793481
-0.49013502,0.00137333,0.00793481
-0.49007902,0.00137333,0.00793481
-0.49002302,0.00122074,0.00762963
-0.48996702,0.00137333,0.00747704
-0.48991102,0.00152593,0.00671407
-0.48985502,0.00152593,0.00640889
-0.48979902,0.00183111,0.00701926
-0.48974302,0.00228889,0.00717185
-0.48968702,0.00244148,0.00717185
-0.48963102,0.00259407,0.00717185
-0.48957502,0.00274667,0.00717185
-0.48951902,0.00289926,0.00701926
-0.48946302,0.00335704,0.00747704
-0.48940702,0.00412000,0.00686667
-0.48935102,0.00412000,0.00717185
-0.48929502,0.00442518,0.00701926
-0.48923902,0.00427259,0.00686667
-0.48918302,0.00427259,0.00686667
-0.48912702,0.00427259,0.00717185
-0.48907102,0.00412000,0.00717185
-0.48901502,0.00427259,0.00747704
-0.48895902,0.00473037,0.00778222
-0.48890302,0.00488296,0.00793481
-0.48884702,0.00564592,0.00885037
-0.48879102,0.00518815,0.00885037
-0.48873502,0.00549333,0.00869778
-0.48867902,0.00534074,0.00885037
-0.48862302,0.00549333,0.00885037
-0.48856702,0.00549333,0.00869778
-0.48851102,0.00595111,0.00900296
-0.48845502,0.00625629,0.00915555
-0.48839902,0.00610370,0.00930815
-0.48834302,0.00640889,0.00961333
-0.48828702,0.00610370,0.00961333
-0.48823102,0.00625629,0.01007111
-0.48817502,0.00579852,0.01007111
-0.48811902,0.00534074,0.01068148
-0.48806302,0.00564592,0.01052889
-0.48800702,0.00534074,0.01037629
-0.48795102,0.00503555,0.01007111
-0.48789502,0.00503555,0.01037629
-0.48783902,0.00534074,0.01037629
-0.48778302,0.00518815,0.01083407
-0.48772702,0.00579852,0.01083407
-0.48767102,0.00564592,0.01068148
-0.48761502,0.00534074,0.01098666
-0.48755902,0.00549333,0.01083407
-0.48750302,0.00549333,0.01083407
-0.48744702,0.00534074,0.01068148
-0.48739102,0.00564592,0.01052889
-0.48733502,0.00564592,0.01052889
-0.48727902,0.00564592,0.01068148
-0.48722302,0.00549333,0.01037629
-0.48716702,0.00518815,0.01037629
-0.48711102,0.00549333,0.01022370
-0.48705502,0.00518815,0.01007111
-0.48699902,0.00488296,0.00961333
-0.48694302,0.00473037,0.00946074
-0.48688702,0.00442518,0.00961333
-0.48683102,0.00473037,0.00961333
-0.48677502,0.00503555,0.00961333
-0.48671902,0.00518815,0.00900296
-0.48666302,0.00473037,0.00869778
-0.48660702,0.00488296,0.00885037
-0.48655102,0.00457778,0.00869778
-0.48649502,0.00457778,0.00854518
-0.48643902,0.00442518,0.00808741
-0.48638302,0.00442518,0.00839259
-0.48632702,0.00473037,0.00824000
-0.48627102,0.00457778,0.00808741
-0.48621502,0.00457778,0.00808741
-0.48615902,0.00427259,0.00839259
-0.48610302,0.00442518,0.00869778
-0.48604702,0.00427259,0.00854518
-0.48599102,0.00412000,0.00839259
-0.48593502,0.00320444,0.00854518
-0.48587902,0.00289926,0.00854518
