Time,Channel A,Channel B
(ms),(V),(V)

-0.49083820,0.01083407,-0.00015259
-0.49078220,0.01022370,0.00015259
-0.49072620,0.01098666,0.00091556
-0.49067020,0.01068148,0.00076296
-0.49061420,0.01098666,0.00045778
-0.49055820,0.01083407,0.00045778
-0.49050220,0.01083407,0.00015259
-0.49044620,0.01068148,0.00000000
-0.49039020,0.01068148,0.00000000
-0.49033420,0.01068148,-0.00061037
-0.49027820,0.01068148,-0.00061037
-0.49022220,0.01129185,-0.00076296
-0.49016620,0.01174963,-0.00045778
-0.49011020,0.01190222,-0.00045778
-0.49005420,0.01190222,-0.00076296
-0.48999820,0.01190222,-0.00106815
-0.48994220,0.01174963,-0.00137333
-0.48988620,0.01220740,-0.00183111
-0.48983020,0.01236000,-0.00228889
-0.48977420,0.01220740,-0.00244148
-0.48971820,0.01159703,-0.00274667
-0.48966220,0.01190222,-0.00305185
-0.48960620,0.01174963,-0.00320444
-0.48955020,0.01159703,-0.00305185
-0.48949420,0.01159703,-0.00350963
-0.48943820,0.01144444,-0.00335704
-0.48938220,0.01174963,-0.00350963
-0.48932620,0.01174963,-0.00335704
-0.48927020,0.01190222,-0.00320444
-0.48921420,0.01159703,-0.00396741
-0.48915820,0.01129185,-0.00396741
-0.48910220,0.01159703,-0.00427259
-0.48904620,0.01113926,-0.00396741
-0.48899020,0.01159703,-0.00427259
-0.48893420,0.01098666,-0.00427259
-0.48887820,0.01068148,-0.00412000
-0.48882220,0.01052889,-0.00381481
-0.48876620,0.01068148,-0.00335704
-0.48871020,0.01037629,-0.00274667
-0.48865420,0.00991852,-0.00198370
-0.48859820,0.00976592,-0.00122074
-0.48854220,0.00961333,-0.00015259
-0.48848620,0.00991852,0.00015259
-0.48843020,0.00946074,0.00122074
-0.48837420,0.00900296,0.00152593
-0.48831820,0.00900296,0.00244148
-0.48826220,0.00869778,0.00350963
-0.48820620,0.00824000,0.00473037
-0.48815020,0.00808741,0.00549333
-0.48809420,0.00778222,0.00717185
-0.48803820,0.00747704,0.00778222
-0.48798220,0.00778222,0.00900296
-0.48792620,0.00778222,0.00961333
-0.48787020,0.00701926,0.00991852
-0.48781420,0.00671407,0.01052889
-0.48775820,0.00701926,0.01068148
-0.48770220,0.00686667,0.01159703
-0.48764620,0.00686667,0.01144444
-0.48759020,0.00656148,0.01129185
-0.48753420,0.00625629,0.01098666
-0.48747820,0.00610370,0.01052889
-0.48742220,0.00579852,0.01052889
-0.48736620,0.00595111,0.01052889
-0.48731020,0.00595111,0.01037629
-0.48725420,0.00625629,0.01007111
-0.48719820,0.00579852,0.00946074
-0.48714220,0.00640889,0.00900296
-0.48708620,0.00686667,0.00854518
-0.48703020,0.00717185,0.00793481
-0.48697420,0.00701926,0.00717185
-0.48691820,0.00701926,0.00656148
-0.48686220,0.00793481,0.00595111
-0.48680620,0.00854518,0.00534074
-0.48675020,0.00946074,0.00488296
-0.48669420,0.00976592,0.00442518
-0.48663820,0.01052889,0.00366222
-0.48658221,0.01083407,0.00335704
-0.48652621,0.01098666,0.00320444
-0.48647021,0.01113926,0.00274667
-0.48641421,0.01174963,0.00244148
-0.48635821,0.01236000,0.00228889
-0.48630221,0.01297037,0.00137333
-0.48624621,0.01297037,0.00122074
-0.48619021,0.01327555,0.00061037
-0.48613421,0.01373333,0.00045778
-0.48607821,0.01480148,0.00076296
-0.48602221,0.01495407,0.00030519
-0.48596621,0.01480148,0.00015259
-0.48591021,0.01541185,-0.00030519
-0.48585421,0.01617481,0.00000000
-0.48579821,0.01678518,-0.00015259
-0.48574221,0.01709037,0.00000000
-0.48568621,0.01785333,0.00061037
-0.48563021,0.01846370,0.00091556
-0.48557421,0.01846370,0.00091556
-0.48551821,0.01861629,0.00122074
-0.48546221,0.01876888,0.00152593
-0.48540621,0.01907407,0.00213630
-0.48535021,0.01892148,0.00213630
-0.48529421,0.01892148,0.00213630
-0.48523821,0.01907407,0.00213630
-0.48518221,0.01892148,0.00274667
-0.48512621,0.01937925,0.00289926
-0.48507021,0.01968444,0.00305185
-0.48501421,0.01953185,0.00289926
-0.48495821,0.01876888,0.00259407
-0.48490221,0.01861629,0.00259407
-0.48484621,0.01815851,0.00244148
-0.48479021,0.01815851,0.00213630
-0.48473421,0.01815851,0.00122074
-0.48467821,0.01800592,0.00091556
-0.48462221,0.01785333,0.00091556
-0.48456621,0.01770074,0.00015259
-0.48451021,0.01770074,0.00030519
-0.48445421,0.01770074,0.00015259
-0.48439821,0.01709037,0.00000000
-0.48434221,0.01754814,-0.00015259
-0.48428621,0.01709037,-0.00015259
-0.48423021,0.01709037,0.00000000
-0.48417421,0.01693777,0.00030519
-0.48411821,0.01663259,0.00030519
-0.48406221,0.01586962,0.00015259
-0.48400621,0.01541185,0.00076296
-0.48395021,0.01510666,0.00091556
-0.48389421,0.01480148,0.00106815
-0.48383821,0.01464888,0.00122074
-0.48378221,0.01480148,0.00198370
-0.48372621,0.01464888,0.00228889
-0.48367021,0.01449629,0.00228889
-0.48361421,0.01480148,0.00274667
-0.48355821,0.01449629,0.00274667
-0.48350221,0.01419111,0.00289926
-0.48344621,0.01388592,0.00320444
-0.48339021,0.01403851,0.00350963
-0.48333421,0.01373333,0.00335704
-0.48327821,0.01297037,0.00320444
-0.48322221,0.01266518,0.00320444
-0.48316621,0.01312296,0.00289926
-0.48311021,0.01251259,0.00274667
-0.48305421,0.01251259,0.00259407
-0.48299821,0.01236000,0.00228889
-0.48294221,0.01266518,0.00198370
-0.48288621,0.01327555,0.00137333
-0.48283021,0.01281777,0.00061037
-0.48277421,0.01236000,0.00000000
-0.48271821,0.01190222,-0.00045778
-0.48266221,0.01205481,-0.00091556
-0.48260621,0.01205481,-0.00122074
-0.48255021,0.01129185,-0.00198370
-0.48249421,0.01098666,-0.00305185
-0.48243821,0.01083407,-0.00350963
-0.48238221,0.01113926,-0.00457778
-0.48232621,0.01113926,-0.00412000
-0.48227021,0.01113926,-0.00457778
-0.48221421,0.01083407,-0.00488296
-0.48215821,0.01068148,-0.00503555
-0.48210221,0.01007111,-0.00503555
-0.48204621,0.00961333,-0.00564592
-0.48199021,0.00946074,-0.00625629
-0.48193421,0.00930815,-0.00610370
-0.48187821,0.00854518,-0.00595111
-0.48182221,0.00824000,-0.00610370
-0.48176621,0.00839259,-0.00579852
-0.48171021,0.00854518,-0.00473037
-0.48165421,0.00824000,-0.00427259
-0.48159821,0.00824000,-0.00412000
-0.48154221,0.00854518,-0.00350963
-0.48148621,0.00885037,-0.00289926
-0.48143021,0.00854518,-0.00244148
-0.48137421,0.00808741,-0.00152593
-0.48131821,0.00869778,-0.00106815
-0.48126221,0.00885037,-0.00045778
-0.48120621,0.00885037,0.00000000
-0.48115021,0.00839259,0.00061037
-0.48109421,0.00778222,0.00137333
-0.48103821,0.00839259,0.00183111
-0.48098221,0.00854518,0.00274667
-0.48092621,0.00854518,0.00289926
-0.48087021,0.00824000,0.00335704
-0.48081421,0.00854518,0.00320444
-0.48075821,0.00854518,0.00366222
-0.48070221,0.00869778,0.00442518
-0.48064621,0.00885037,0.00427259
-0.48059021,0.00824000,0.00473037
-0.48053421,0.00808741,0.00412000
-0.48047821,0.00869778,0.00381481
