time,eng_strain1,eng_strain3,true_strain1,true_strain3,eng_stress1,eng_stress3,true_stress1,true_stress3,eng_strain1_rate,eng_strain3_rate,true_strain1_rate,true_strain3_rate,disp_1,disp_3,force_t,force_i,force_3,vel_1,vel_3,strain_i,strain_r,strain_t,tag,filename,Raw_Incident_Voltage,Raw_Transmitted_Voltage,Adjusted_Incident_Voltage,Adjusted_Reflected_Voltage,Adjusted_Transmitted_Voltage,Export_Date
1e-05,-0.000208452916026809,-5.26732150686207e-05,-0.000208474645355627,-5.26746023511408e-05,-10006311.9909216,7156383.62288,-10004226.1460084,7156006.67314632,-20.5999946624447,-5.21125213883057,-20.6045019580895,-5.21154022673086,-1.32367601677024e-06,-3.34474915685741e-07,-316.892070248935,226.637069062759,-45.127500593088,-0.130364937371524,-0.0333139800315741,-5.20312067352381e-06,1.37226249864762e-05,-1.19122761796686e-05,,,0.00228889,0.00976592,-0.0084741379047619,0.0223495520952381,-0.0194011012698186,
1.1e-05,-0.000229052910689254,-5.78844672074512e-05,-0.000229079147313717,-5.78861425778716e-05,-10085016.9669216,7313783.25968,-10082706.964431,7313359.90523274,-20.810249051421,-5.31637933331875,-20.8152334269677,-5.31670122055019,-1.45448598287676e-06,-3.67566366767315e-07,-319.384595247772,231.621792386121,-43.8814014308255,-0.131254994841524,-0.0328689221315741,-5.10943041352381e-06,1.38163152464762e-05,-1.20059725796686e-05,,,0.00167852,0.00976592,-0.0083215479047619,0.0225021420952381,-0.0195537012698186,
1.2e-05,-0.000249863159740675,-6.320084654077e-05,-0.000249894380740684,-6.32028437984218e-05,-10006311.9909216,7392488.23568,-10003811.7821902,7392021.02416547,-20.8803369096888,-5.21125443528727,-20.8857735468485,-5.21159739216994,-1.58663106435329e-06,-4.01325375533889e-07,-316.892070248935,234.114317384958,-41.3888764319886,-0.133035168111524,-0.0346490954015741,-5.20312067352381e-06,1.40037019064762e-05,-1.19122761796686e-05,,,0.00106815,0.00991852,-0.0084741379047619,0.0228073320952381,-0.0194011012698186,
1.3e-05,-0.000270743496650364,-6.84121009760573e-05,-0.000270780154287533,-6.84144411905918e-05,-10085016.9669216,7707292.66688,-10082286.5141642,7706765.39479583,-20.8102536443345,-5.07108560812192,-20.8161060646276,-5.07144541521297,-1.71922120372981e-06,-4.34416841197964e-07,-319.384595247772,244.083927368837,-37.6503339394673,-0.132145110641524,-0.0315338359265741,-4.73466323352381e-06,1.39100116464762e-05,-1.20059725796686e-05,,,0.00183111,0.00946074,-0.0077111779047619,0.0226547420952381,-0.0195537012698186,
1.4e-05,-0.000291553750294698,-7.34831865841792e-05,-0.00029159626035216,-7.34858866058047e-05,-9927612.17252163,7628592.84848,-9924717.73996126,7628032.27516834,-20.8803369096888,-5.10612724079908,-20.8866445501195,-5.10651552110888,-1.85136631437133e-06,-4.66618234809538e-07,-314.399708587254,241.591565707156,-36.4040714400489,-0.132145110641524,-0.0328689512965741,-4.82835349352381e-06,1.39100116464762e-05,-1.18185859196686e-05,,,0.0021363,0.00946074,-0.0078637679047619,0.0226547420952381,-0.0192485112698186,
1.5e-05,-0.000312434087204387,-7.85893138249783e-05,-0.00031248290490228,-7.85924021269136e-05,-10085016.9669216,7785992.48528,-10081866.0638511,7785380.58947314,-21.0905867057518,-5.17621050615341,-21.097400731943,-5.17663073164204,-1.98395645374786e-06,-4.99042142788612e-07,-319.384595247772,246.576289030518,-36.4041531086268,-0.133035168111524,-0.0319788646615741,-4.73466323352381e-06,1.40037019064762e-05,-1.20059725796686e-05,,,0.0021363,0.00930815,-0.0077111779047619,0.0228073320952381,-0.0195537012698186,
1.6e-05,-0.000333524673910139,-8.37655243311317e-05,-0.000333580305634223,-8.37690328585557e-05,-9927612.17252163,7943392.12208,-9924301.06890908,7942726.73967393,-21.3008410947282,-5.3514232624526,-21.3081748386451,-5.35188588616642,-2.11788167932938e-06,-5.31911079502686e-07,-314.399708587254,251.56101235388,-31.419348116687,-0.134815283051524,-0.0337590087665741,-4.73466323352381e-06,1.41910824264762e-05,-1.18185859196686e-05,,,0.00228889,0.00976592,-0.0077111779047619,0.0231125120952381,-0.0192485112698186,
1.7e-05,-0.000354825515004867,-8.91169475935843e-05,-0.000354888480472868,-8.91209187447221e-05,-10006311.9909216,7943397.27968,-10002761.4961161,7942689.38836091,-21.5110954837045,-5.49159208961798,-21.5189624096276,-5.4920966087003,-2.2531420202809e-06,-5.6589261721926e-07,-316.892070248935,251.561175691036,-32.6654472789495,-0.135705398851524,-0.0342040666665741,-4.82835349352381e-06,1.42847788264762e-05,-1.19122761796686e-05,,,0.0021363,0.00991852,-0.0078637679047619,0.0232651120952381,-0.0194011012698186,
1.8e-05,-0.000376336610488571,-9.46085396832022e-05,-0.000376407442882496,-9.46130153534224e-05,-9848912.35412163,8179496.73488,-9845205.84782928,8178722.88463857,-21.5811787490589,-5.63175862032662,-21.5895366467705,-5.63230734462469,-2.38973747660243e-06,-6.00764226988334e-07,-311.907346925573,259.038260676079,-26.4345431247472,-0.137485513791524,-0.0355391528715741,-4.73466323352381e-06,1.44721593464762e-05,-1.17248956596686e-05,,,0.00244148,0.00976592,-0.0077111779047619,0.0235702920952381,-0.0190959212698186,
1.9e-05,-0.00039791778923763,-0.000100240298303529,-0.000397996979529266,-0.000100245322698047,-9770212.53572163,8022097.09808,-9766324.79434903,8021292.96067387,-21.5811787490589,-5.52663372229513,-21.5900027649265,-5.52720304412865,-2.52677796165895e-06,-6.36525894227408e-07,-309.414985263892,254.053537352717,-27.6807239555877,-0.136595456321524,-0.0359841816065741,-4.82835349352381e-06,1.43784690864762e-05,-1.16312053996686e-05,,,0.00244148,0.00961333,-0.0078637679047619,0.0234177020952381,-0.0189433312698186,
